"year","forecast_horizon","intercept","A","D","E","AC","t_intercept","t_A","t_D","t_E","t_AC","adj_r_squared"
2003,2,-7.47665896955743,0.00560794098557047,0.793940998419805,0.557208003903691,-0.0951053402424878,-2.63660637925102,5.7648083937405,5.64366930198526,9.67167838542287,-2.76025526025113,0.381088836489522
2004,2,-5.82139024810073,0.00534199988521801,0.869271721388149,0.546858036488648,-0.0993184881899597,-1.95096088224603,5.88859434734489,6.09115398668107,10.0661734532039,-3.27355060854281,0.412122210056188
2005,2,-4.97950207689575,0.00462820278070511,0.962300852194866,0.592560943271409,-0.0755733356857154,-1.51342217178733,4.64983108912904,5.9767578703367,11.2554655870583,-2.32719419624819,0.448647885841644
2006,2,-2.63655370425375,0.00471473602916761,1.12493441354693,0.582551064473468,-0.0344564644925392,-0.705285750659043,5.7427775924096,6.74441832252231,10.4258947461154,-1.19856215341091,0.495005269627268
2007,2,-1.00373511420163,0.00183458522286409,1.00197762384982,0.684109738917835,-0.0458028302346045,-0.236163927453202,1.63371534412384,5.4354030563757,8.80545246561022,-1.60372569070667,0.477493664501885
2008,2,8.34917700638929,-0.00496498725790134,1.30327506566275,0.617307919372659,-0.0354047198120014,1.10957191106026,-1.87581020555332,4.05706792304067,4.87609338059162,-0.710522702608936,0.282700081097527
2009,2,13.3095182826168,-0.00613004279424639,1.01964537480763,0.704521056243586,-0.00286656811408054,1.68740219276466,-2.47332395506158,3.85956474149277,5.84564828813955,-0.0588393979403652,0.275282079305809
2010,2,17.1663507852216,-0.00337932073064404,1.14256385402737,0.528044678111251,-0.0476472967594635,2.05559865236717,-1.78595677611118,4.49053859691114,5.5887386890525,-0.887513510363569,0.274188561655171
2011,2,28.1349432258668,-0.0026384233490897,1.03912374859225,0.55748206822714,-0.0657700528167556,4.03006363481953,-1.71853210027186,4.6278487625764,6.37269540512352,-1.7725480987787,0.314402484634818
2012,2,31.8960910354711,-0.00202521613963562,0.846232664093015,0.633205636357079,-0.074138146512237,4.55997513005821,-1.61487832975601,4.24312427393887,7.48060201918474,-2.13000985015304,0.350463454366427
2013,2,25.2308462211859,-0.00184989002237405,0.701939357517425,0.704036581333378,-0.0837367427345679,3.68395931513168,-1.75297290591698,3.81618812438747,8.51130636211381,-2.4627458070072,0.390206020625108
2014,2,20.0496098047106,-0.00142074773447709,0.576819504613137,0.751271247235748,-0.0816789212238536,2.85825931357933,-1.55765434187401,3.33506425428777,9.34771069391735,-2.41191064893714,0.420552272768897
2015,2,15.078210755422,-0.00128939180052468,0.468980593740044,0.750724296620164,-0.0868502193199203,2.15982563052231,-1.5071431930074,2.91036138448635,9.74446859646062,-2.76301105279692,0.423230501885198
2016,2,9.95823886095333,-0.00138056968848411,0.343255247879728,0.759511221625351,-0.109406061817481,1.41533461793225,-1.61369897092946,2.28274860199178,10.3956262367148,-3.20257991168115,0.430043870472373
2017,2,12.0938610235087,-0.0015261106705996,0.374629572321827,0.740516460185764,-0.131658381536719,1.74148790451769,-1.73741994777541,2.55703325747219,10.6836265258037,-3.56920797286117,0.449780784996192
2018,2,16.9434196047546,0.000109603439492498,0.39234671511114,0.779405601888762,-0.104760811981121,2.47807081577951,0.203579873731665,3.18455278435085,13.5555504689059,-3.62583026084711,0.605069507492313
2019,2,13.4244372381927,0.000712688939740051,0.36832436285491,0.812789031820238,-0.123600190442818,1.84998987076702,1.13115068129865,2.41528687333623,11.3047666867742,-4.92233460039343,0.645538332774312
2020,2,2.89832429287301,0.00052727642195433,0.234824477288686,0.849358823122504,-0.112918436848297,0.333294881343338,0.796865222876996,1.49679581239838,11.5115680816224,-4.30041321626259,0.60194015657154
2021,2,-7.8178527049654,0.000470796249911838,0.105032826429642,0.971495128319364,-0.122082784027847,-0.767424093471744,0.621900460402494,0.579393412705749,10.528742807559,-3.01747704744239,0.606501953532466
2022,2,-5.53050472382277,0.000749769763321558,0.389012047299848,0.868490267487891,-0.14229057686944,-0.477019524906328,0.963861519288148,1.93554365581182,8.70870112627797,-3.47823019538798,0.597026101592186
2023,2,-7.38057481475912,0.000832524184931096,0.317389787672708,0.890926970407476,-0.154436889512843,-0.597594285882007,1.05175294429686,1.45264961587732,8.06744100768347,-3.43174929329631,0.614743473242309
1968,3,1.96384219536729,-0.000534021710971492,-1.56476561013195,1.97321326087972,-0.133397753766309,1.31506541565835,-0.0479170379463695,-3.95993041416873,6.29950389438134,-2.51372918158701,0.957476147869425
1969,3,1.84573683527351,-0.0019242367919227,-1.58178309715755,1.89804417873458,-0.121988475049857,1.31228923222373,-0.260220061797933,-3.48386303518705,5.47425456635779,-1.88141829470275,0.915573670334958
1970,3,0.114351597537371,0.00536584037881695,-1.11080926957757,1.61162745072606,-0.0397638288707354,0.138690938874208,0.693135963791518,-2.62059986846367,5.3756295786892,-0.621039797285697,0.930836019730727
