"year","forecast_horizon","intercept","A","D","DD","E","NegE","AC","t_intercept","t_A","t_D","t_DD","t_E","t_NegE","t_AC","adj_r_squared"
2020,1,12.3576740310292,0.00103886766943162,0.389584225125842,-10.1098454611803,0.738344805057344,11.0768230208118,-0.0745506381808441,1.26352649762727,2.18986295266909,3.29597314091474,-0.822051958329764,13.4596119720982,0.680131378632873,-2.7787202910007,0.717367235016115
2021,1,6.15547968367536,0.000645633862445304,0.197720605245094,-10.251768711908,0.769346435843526,2.26015814877527,-0.107929307376542,0.580345744433398,1.27388825841961,1.48202248763889,-0.643007894639316,14.2996322233803,0.132199660403085,-3.88437893312142,0.708772866559845
2022,1,-6.11445847629286,0.00143661785126562,0.321224664716499,-19.2417593066635,0.780621275655143,40.172819846662,-0.105508819429361,-0.406328373388234,2.02831748427038,1.95768175607679,-1.00627522313432,10.6745918386935,1.59732934343303,-2.82690953797914,0.692519244675855
2023,1,10.903388293347,0.00125922998061875,0.521717539511254,-34.3598723528434,0.681606430497825,-2.71305377747455,-0.131120878351778,0.491795983612933,1.72161960659761,2.70240627873567,-1.45033405032042,6.87189450963228,-0.0679453864665435,-2.91490467165138,0.671433719579668
1968,2,-0.784386405065418,0.00195332126641067,-0.809437183999061,3.94592388161648,1.37961416770707,5.16604736669263,-0.193811270538898,-0.649520863638225,0.240270281156945,-2.18806544323143,2.8473280050178,4.85181179645317,1.62066539406319,-3.76796536238291,0.973137351981997
1969,2,-1.2230717728432,-0.00267771194319776,-1.07787791748056,3.41446817620397,1.64422225147312,6.23487449693822,-0.14066702707377,-1.55521853561874,-0.671652907825301,-3.73754300580777,3.17205284300553,7.91054488255962,2.53003123860793,-2.58224769718335,0.974898927843897
1970,2,-1.47723744069431,-0.00493904756586588,-1.49058337978857,2.617895544839,1.84809973621426,6.25831468235534,-0.186290503459478,-2.1578856873258,-1.10172069859409,-3.784851623826,2.13144301060356,9.25790819111362,3.59424796378248,-2.7052256799135,0.950469715266952
1971,2,-1.2570986392727,-0.000931727341333223,-1.05255809032574,2.14836071831772,1.56233694904769,5.52395668937519,-0.142024009352281,-2.38904388994813,-0.243033897026484,-2.8707527384466,2.48863516216319,8.18264314237671,3.62516997635853,-2.28345203659025,0.953248576067032
1972,2,0.523293036985774,0.00652181985149354,-0.091690473622713,2.94595097832125,0.846559623242681,0.77346663696995,-0.205819032440931,0.582469260407481,1.75889138715416,-0.201935426076918,3.53461477394764,2.95814263502105,0.25616443711479,-2.96246308539665,0.936745953304943
1973,2,-0.348699091193073,0.0121261648785709,-0.162614055211538,2.2175061945506,1.00240164298578,3.03899885057149,-0.0782273559171865,-0.314912379618766,2.67073739179467,-0.271786987958221,2.45780377794844,2.86535475156574,0.876050070993029,-1.02326102857484,0.924293288969847
1974,2,-0.377913576139965,0.0196714922136535,-0.0990428891870353,2.62929506280139,0.893059558786972,1.81039471729083,-0.0332493815325914,-0.361291254562563,3.14631691501298,-0.175123394177617,2.81910217734219,2.45061831380971,0.53074968288009,-0.460714708483235,0.88857717723504
1975,2,0.0107307550983116,0.020867893492845,0.0913491936275447,2.71027924760001,0.730678296292642,0.606310016675675,0.00256995857907082,0.0157486369973142,3.50046585123456,0.230378503737301,3.26736250569331,3.24941077256832,0.279368337723905,0.0401587906990548,0.875119898593254
1976,2,0.410258327457208,0.018284624011381,0.260939917130273,3.11445214887107,0.650527613373291,-0.230135114506282,-0.0445773593009182,0.84541017820414,2.87600486388036,0.804684041403301,4.69169357725524,4.26411286848303,-0.168165514239537,-0.723923309278384,0.877636328416172
1977,2,0.595311763739035,0.0204806212203364,0.535186036356917,2.53084236867884,0.538516404269963,-0.301070940433865,0.0187553876668189,1.182383268325,2.85829997427085,1.54686156443836,3.57775693462942,4.0180962272034,-0.252030639355849,0.336187926671177,0.877101125648762
1978,2,0.651125691541832,0.0176780009436064,0.567993669865288,2.27856377469621,0.596173898907002,0.356385622696381,0.0294625873915063,1.31444624087044,2.45206706424972,1.74823135764712,3.44061241939466,5.22546340894924,0.34300178379587,0.587527078550736,0.894424487510932
1979,2,0.416472806615666,0.0184837103922839,0.336785610054876,2.36218567023944,0.717418916823084,1.14049394617607,0.00255566364548167,0.992788859122826,3.33015445621294,1.23326879674488,3.60140839205977,6.65771176737444,1.11893839160056,0.0586971441023308,0.893646508460653
1980,2,0.751029492831298,0.0226132177501243,0.474553560611325,2.75552770727507,0.588743358368367,-0.869114457826752,0.0340281674722393,1.20374334260953,2.7205250325507,1.27931489154106,2.7191121881862,2.81702432347448,-0.429567773803437,0.731210549775506,0.834165713760236
1981,2,0.355327764335862,0.0246145468092616,0.541016580184255,2.08590360339526,0.573774457383969,0.475992609858023,0.116910854001296,0.624119986540999,3.03777646241492,1.55774361436338,2.35956757482963,3.54497693861646,0.279838017616853,1.85571055914588,0.837535319068884
1982,2,0.923860617711215,0.0204378224246179,0.723014601224209,2.68699687864597,0.484546668931668,-1.46590273642379,0.0859575018462476,1.74128652409482,2.8204245228932,2.43694000592764,3.15153963298272,4.37407768863995,-0.970955831544956,1.60321462615378,0.834552475430541
1983,2,1.15899840744935,0.0169190662085412,0.676522498603159,3.84540992400441,0.467846594933665,-2.23747831645105,0.011295706781807,2.12933486964725,2.19834916688008,2.11541836735909,3.09138919460045,4.59443505570024,-1.46022265204018,0.185637818904876,0.816451796592487
1984,2,0.78528727733984,0.0115545793081044,0.273034311708642,6.04141323761355,0.645120816509792,0.118893907057258,-0.0660326535438096,1.18762909678908,1.19146144707826,0.591561536073108,2.21478630047012,3.69472388446683,0.056567833045035,-0.889190010098874,0.764924923207401
1985,2,-0.800981459496264,0.0100135409514758,-0.244416999158213,7.15001662103812,0.889396111981027,3.76290680618422,-0.0885407657221328,-0.7639718005723,1.07176539045698,-0.485522829648815,2.71067764065488,4.71704082301601,1.32582819348165,-1.29256897342412,0.748792483071388
1986,2,-0.89107956296632,0.0091703012820598,-0.119003522807786,6.88170138454954,0.837688938166118,2.8940574108803,-0.0474514272900095,-0.813176306856387,1.19214252091517,-0.258648788364644,2.60820857859924,5.28389173382705,1.04478593776261,-1.00825002470444,0.734868626687547
1987,2,-1.64413604816994,0.00662080946778295,-0.0130492759583261,8.79700105791711,0.81057381313595,5.2882495229592,-0.0396819884727243,-1.38129238457645,0.871425281621474,-0.0326009059758674,2.94139661228849,5.8841800634185,1.82427389729432,-1.10455323847776,0.720644653640627
1988,2,-2.32399947299456,0.0122253219167995,-0.0320419234330847,9.1811643982842,0.759394002515873,6.84176962425949,-0.0181314595269568,-2.11899159893269,1.80850687876449,-0.107901428201782,2.71496159288455,6.94383856653043,2.4988267691157,-0.564820146705497,0.713121079923913
1989,2,-1.8101351878874,0.0172580003249194,-0.00606357012756654,8.39239415371762,0.654115291585412,4.21832504506879,-0.0106916073079099,-1.66924835991422,2.45417000823907,-0.0268717191283866,2.33678168912625,5.6079594312815,1.43653007438637,-0.395123826739436,0.697609910137458
1990,2,-1.82431735179905,0.0017505898577763,0.325445581514101,12.5030327512213,0.674961199031723,6.30450789217037,-0.00584103440114795,-1.67037165238145,0.325940068481821,1.75243118445536,3.63888728811774,7.02850045413201,2.58194167706254,-0.204470255069847,0.673433033466912
1991,2,-1.17898918373187,-0.0037726846196648,0.404579628856792,15.066549622267,0.663036935537838,5.2464202051868,-0.00185875154679089,-1.02789971636728,-0.820270501208753,2.27365022906849,4.10954629742225,7.33833899766202,2.17063614954336,-0.0644558927479798,0.599889797090489
1992,2,-0.642792382790712,-0.00371513811041033,0.343056993710725,17.895011762526,0.653442139500951,4.01734414931423,-0.000570739373589542,-0.429138122133404,-1.25953132963098,2.19470198119113,4.86091184311681,7.37056714854732,1.26212458443083,-0.0180704909035656,0.528765194174926
1993,2,-0.0384261654645968,0.00151592913206657,0.259209498289851,17.9849496232854,0.602505303857876,2.5652687194038,0.0114494001334943,-0.022759936814311,0.566083862953954,1.50697659215929,4.57241793275672,5.5049871966706,0.683196411654544,0.368171211030596,0.48688800134781
1994,2,1.45572516670463,0.00457650659127752,0.381225223149066,14.1808155031935,0.489936746585057,-0.922336232715754,-0.0205593384391569,0.86008274605248,2.19658073515879,2.11838296100854,3.64835832289354,4.76835129034237,-0.247838493826701,-0.629410806893619,0.496365317349751
1995,2,2.84092204245186,0.00547048307947326,0.457806854898999,12.5476105205412,0.432851016288009,-3.43993846685995,-0.0616234600988243,1.6567012484955,3.37825320636031,2.83431776932115,3.49120915459637,4.45474613884874,-0.911796823835375,-2.04614289679462,0.516351956472967
1996,2,2.69156336452535,0.00545411373038741,0.455731485499507,11.798060484246,0.489372246321617,-1.96113615306975,-0.0724997423669739,1.55728794890881,4.08886316247331,2.98560292733509,3.39361503371639,5.09346670623685,-0.515729627289867,-2.41820559119235,0.565891485959819
1997,2,1.99821608203607,0.00565070049656483,0.344846889790759,9.53628196837366,0.575060652708665,-0.773452497350185,-0.0955438496407816,1.18548346195569,4.84784768680696,2.60311443589221,2.92354111103658,6.31131126148325,-0.206725961627241,-3.04399674669956,0.606784537563431
1998,2,0.711322040392636,0.00674355746433756,0.259015501981558,5.09063630131177,0.618941572234737,0.253904603096429,-0.112927652265855,0.422643245233625,4.57649196352267,1.90060067818962,1.31718753779505,7.142623418332,0.0726094984734139,-2.7646322721192,0.613168261521305
1999,2,-0.685243865673372,0.00708784586135576,0.238567627253405,3.55761522363378,0.663394148014362,3.19183391434178,-0.10288324979826,-0.41840422357264,4.96148940782825,1.82162714494036,1.00331246113846,8.06361856711645,0.917412400809924,-2.77137231768454,0.641144789102394
2000,2,-0.328406970121686,0.00774148888574901,0.24411707936655,4.40225321468291,0.641037028826603,-1.27736198572237,-0.125244924814286,-0.10572397012032,5.5212164345589,1.61880849343331,0.974666665956005,5.71663579951657,-0.188672749723724,-3.44738745743497,0.628917847977871
2001,2,-3.62494129132069,0.00665778041419878,0.428859143087358,8.69591206662333,0.615097558284018,-6.40264002799412,-0.0684455466687463,-1.05087327307679,5.1554212552973,2.41582011258549,1.52333123600226,5.91412062358415,-0.834045199811482,-1.71155056162812,0.384545367301747
2002,2,-5.0701394305129,0.00542383873720598,0.627726681548283,10.5913028201369,0.53631419933187,-7.39971369813288,-0.0519667025533417,-1.41580562780467,4.56864790097314,3.37343631619428,1.71635114118276,6.31894879792605,-1.05107659227604,-1.40037770386803,0.337806760158729
2003,2,2.947958959356,0.00691651074793244,0.948675869677115,7.9975897528531,0.303608479852827,-22.6701495158024,-0.103427431686956,0.708777657529033,7.33588754597986,4.69224775753366,1.18793439969812,3.79343019757042,-2.69825205085936,-2.92696671369251,0.359246524829049
2004,2,7.18643366029811,0.00640493264767689,1.06781279150598,5.43269848806917,0.275562706515243,-27.3318940519787,-0.117306915916069,1.77376976413553,7.60391761786387,5.41629795599111,0.746840646137989,4.33933258565422,-3.52875527221411,-3.61350055370885,0.387051023293763
2005,2,9.25750072492954,0.00524050603979378,1.1285692030866,2.302651601444,0.324931828177825,-26.8323541760601,-0.124132041437415,1.98477222723421,5.68492565637205,5.86803831798186,0.287166686450054,4.56433834816131,-2.89367833485581,-3.95818970609303,0.424475134531099
2006,2,12.2989846138152,0.00511145192907965,1.26364345484187,1.43079650318665,0.342887496797958,-25.1397319920841,-0.0805614767415271,2.1506298933547,5.88759657727939,6.50009027416234,0.168500927325323,4.12495781724739,-2.182921711268,-2.850735556418,0.472766911979522
2007,2,9.16392921198748,0.00376135290429014,0.689002231466153,21.0428293082449,0.501278611161251,-14.8585448993218,-0.100584050575404,1.20089888850044,2.66262863238348,2.40645931714857,1.66326797337299,4.49351848063336,-0.966475931806439,-2.68163861888544,0.437394569147622
2008,2,16.2984258374676,-0.00290113323711751,0.82352345133061,36.4729012385321,0.508702974208202,-19.2430712318483,-0.0763398546012762,1.58392891499543,-1.11943898118743,2.38967593823183,2.14900443016554,4.27537906142294,-1.02446985492213,-1.81988940296236,0.256576776055195
2009,2,25.8770709537514,-0.00320780077637508,0.785485907417856,40.3901308751716,0.471688910534571,-30.0387879823097,-0.0303519473822228,2.2938563896337,-1.4520453154446,2.97298514288753,2.59005592075642,4.55438077450329,-1.54014150469338,-0.676103219744942,0.231682622130189
2010,2,37.6946584173013,-0.00120231362941156,0.905829625665032,34.4817678800106,0.329605887354318,-50.3045863179962,-0.0784177788137555,3.05253852665261,-0.722969061027214,3.30968977086618,2.16072127993957,3.35555035399965,-2.15438996965558,-2.22501035543249,0.227678278709516
2011,2,45.5416168129425,-0.000919751248966191,0.913719182839974,37.1187655933817,0.345335517270433,-38.7759096867954,-0.0783906129106859,3.52172384453468,-0.63750428044579,3.55539244360219,2.26153925638393,3.55956595779458,-1.57759022919953,-2.64449682656231,0.263963937624208
2012,2,50.2374929954793,-0.000618285698542519,0.847964023344525,33.7834871824939,0.394018322640939,-34.4519476370042,-0.0859775884302217,3.61094751651392,-0.502259676875646,3.61791284225997,2.07916406261714,3.9176954204268,-1.29653577789477,-3.00193527848531,0.298392465913408
2013,2,45.7095363133257,-0.000568243959788224,0.772263002585306,27.081258863342,0.459742654868239,-27.5381782709818,-0.0923480508323585,2.96262275021816,-0.525729053868466,3.42763053899749,1.73967196411702,4.12923002374238,-0.938739936558437,-3.27347263679483,0.341419336548505
2014,2,39.3767300555932,-0.000356553929283728,0.69238033745504,23.1413430860304,0.509035455904272,-18.5607648634,-0.0911976335424536,2.3520401250601,-0.368763445895747,3.1967060625817,1.55994798664384,4.38275911250679,-0.591715015009762,-3.28540030413393,0.379922231886348
2015,2,37.6168397832602,-0.000328073226174486,0.624434981444212,12.0166555561129,0.52187935305325,-18.2802826282054,-0.0945421701583748,2.16104083466017,-0.364192900061888,3.01013536354551,0.819210133413943,4.53341433358539,-0.564824428017258,-3.55917734513943,0.391917226978348
2016,2,36.1769398762685,-0.000346561875774192,0.544883053781839,4.23880292658785,0.5272276861559,-19.6503166964383,-0.108711638693637,2.0228094567275,-0.400721269689701,2.84863090824953,0.293036478301016,4.79111171351573,-0.605284901282815,-3.84599744905791,0.402170050996533
2017,2,40.1803488098203,-0.000542790641539093,0.644805265158893,-5.92873959165836,0.508143817378277,-20.9849312749339,-0.12102004993789,2.2004253376281,-0.637914446687182,3.34435307516192,-0.372863603076487,4.97677628766638,-0.644670974815734,-4.06408935857909,0.429026931421657
2018,2,40.5724806874267,0.0011130791867379,0.644620149918118,-2.57289654196507,0.53432154206317,-13.1484939005463,-0.106506182592351,2.08520996813131,2.01232604611972,3.53436829654495,-0.16195087147611,5.21527177238094,-0.379836397024322,-3.81701073026522,0.577128476014706
2019,2,29.7483093825116,0.00163992457991499,0.569394937719644,-5.75494262156057,0.604715223690739,7.25305444100875,-0.122624401961326,1.34575651880279,2.73340934125245,2.63198959227056,-0.320273798613873,5.1080871044331,0.185859703058449,-4.07171640716259,0.643885916066652
2020,2,-7.85636858648208,0.00104267556940527,0.151577818463,14.5963093280678,0.807986361846542,58.3842032643266,-0.0906756519176104,-0.691283482528877,1.8080349656131,0.930442633266272,0.846751774258167,12.0273092029169,3.05797536323316,-3.91068910663354,0.649301539718726
2021,2,-28.6434036685052,0.000750499345713913,0.0302069490100612,11.0795130262396,0.922924028147573,88.1665688317156,-0.11804170318784,-2.08443523316023,1.19086261908944,0.189198684790831,0.627321338201504,12.9404504076593,3.9176398947167,-4.59497875662037,0.692299995526705
2022,2,-24.6167582323028,0.00124066286484652,0.470797984173204,-6.17806944078711,0.784278707084509,92.9727164555029,-0.114163358079654,-1.23250645317339,1.87845489719876,2.1206122931103,-0.236655113250429,7.93468358065344,2.78212370370064,-3.83729925572032,0.644236757508347
