"year","forecast_horizon","intercept","EPS","t_intercept","t_EPS","adj_r_squared"
1991,2,0.0421229842972062,0.760938437652718,0.925394019610846,13.0019196280288,0.12474360737453
1992,2,0.061413764557916,0.759481516713536,1.43762108417592,12.0402001031587,0.108368583333751
1993,2,0.0729452125453625,0.793660553168262,1.57631082339087,9.7881945377327,0.0816764517450912
1994,2,0.073116462519981,0.806400136184664,1.6270276295609,9.27818776660374,0.0744229638153534
1995,2,0.107274391331334,0.82322261901663,2.30123711791728,8.38146268095868,0.0635190923726863
1996,2,0.0624972231790072,1.00224187249382,0.731416872366157,5.16430108573021,0.028211238618584
1997,2,-0.00215685593261384,1.12893309473317,-0.0214829498083993,4.94195821402532,0.0250146889043071
1998,2,-0.1095971059184,1.27560275095918,-0.849738260916605,4.50946677950816,0.021161461710956
1999,2,-0.0982178925134309,1.28131486836872,-0.785356043334354,4.54298615752304,0.019573318572398
2000,2,-0.135889224043982,1.43502145834897,-0.971126707928917,4.26321163450972,0.0173361416117216
2001,2,-0.15005223335553,1.46959557053802,-1.06762003231788,4.30502893028031,0.0162239095900931
2002,2,-0.176037788650872,1.60761974165675,-1.16398782595709,4.04966319103695,0.0131716078405307
2003,2,-0.171597047954289,1.85304280905975,-0.925395786469367,3.34072403416741,0.00819468302730375
2004,2,-0.217486852254918,2.15418348062635,-1.06154178332097,3.31978300648166,0.00778753010541311
2005,2,-0.407790258673419,2.67614194051038,-1.51014482208429,3.27479044301688,0.00832685392390298
2006,2,-0.608006333530259,3.2665499752095,-1.68979133696054,3.07174180931357,0.00753276551868309
2007,2,-0.993902197399911,4.20791766959456,-1.91966133830387,2.93779817571992,0.00805542158258366
2008,2,-1.54273381519205,4.95844215894276,-2.2215340298842,2.97079452220688,0.0111359361842164
2009,2,-1.52600143415375,4.77758813514539,-2.23477460046727,2.95418739979099,0.0109848966342964
2010,2,-0.894275103040353,4.09877812847332,-1.77659339302912,2.8629625432283,0.00916536806185386
2011,2,-0.615392074849892,3.9117953604033,-1.39511143916537,2.86208501857579,0.00898527119564951
2012,2,-0.730994732511539,3.85573835935078,-1.4257128878925,2.77451932850997,0.00907247428682867
2013,2,-0.966314015732385,3.62119028188761,-1.53415964462196,2.63803914290544,0.00877559188917942
2014,2,-0.990632193728883,3.25573084045075,-1.44585174093843,2.50085285731791,0.00830852348553557
2015,2,-0.987932957452826,2.88465808081781,-1.33241131298366,2.28056907827011,0.00831298959452309
2016,2,-0.63274776453394,2.14288838358716,-1.01859221411664,2.11955843523166,0.00778001235960435
2017,2,-0.0988008948288899,1.2883066734519,-0.258738756471925,2.32475336186873,0.0220458451798352
2018,2,0.379054511391762,0.781841143986117,10.8559457795865,15.9511085767549,0.162287301801412
2019,2,0.399554368068161,0.862928347008056,10.9546898447357,16.8282228020595,0.175205184737988
2020,2,0.249661385804181,0.911405642301687,5.53448299312036,17.9482613759826,0.162401121338904
2021,2,0.18830900535315,1.03438868342212,2.83703222916878,14.0773337818669,0.18086405848539
2022,2,0.302051494039238,1.00864719871771,4.50797370969101,12.7443678691454,0.15669878156981
2023,2,0.294534263867444,1.01174792387634,3.86654405361057,11.4477595427145,0.162701862433604
1968,3,0.422096432836874,0.783994769264964,3.12026413289571,10.0004713404676,0.289297705641813
1969,3,0.304326732502341,0.791968084451762,2.27836027463492,9.99386538827285,0.255559217524832
1970,3,0.157274513925723,0.844358638787857,0.961120486095355,8.49638862454836,0.200002278520073
1971,3,0.224997238255388,0.820948217326276,1.85617041674846,10.2837991875912,0.133006496721055
1972,3,0.243220104697168,0.862344790123853,1.67634896748373,8.6987102418667,0.106201435941079
1973,3,0.267836272873134,0.905416832947479,1.81380856057166,8.53875784875026,0.0890499340627016
1974,3,0.234590467219853,0.935895786911464,1.78496246494546,9.68018894489144,0.0979317895424263
1975,3,0.267407319626423,0.918434200608252,2.18041535084532,10.0234309018262,0.0980333468945479
1976,3,0.364802671452748,0.872286703086637,3.00481118276754,9.56511119633391,0.104002940605146
1977,3,0.489174737205462,0.837847371849859,4.99083597848684,10.8030071793585,0.100479850115074
1978,3,0.509978199286189,0.870417221090041,5.57201914264913,11.8354023654568,0.108069931450983
1979,3,0.515885743604935,0.885868459475115,6.18925174734695,13.1747430784964,0.112759903651977
1980,3,0.510129996686528,0.882608779562247,6.46652145171289,14.0486281716281,0.113284728225787
1981,3,0.509197837507521,0.821838706306095,6.73636412114957,14.1637838603398,0.116145063220179
1982,3,0.497914515674649,0.772568599275506,8.06677902156298,16.3340468538392,0.124835428669232
1983,3,0.470553838985914,0.739719981211232,9.11721487938967,18.8547795271228,0.143229880230722
1984,3,0.439739153886519,0.7234404079529,9.61636760105134,20.2841527776266,0.149793525117392
1985,3,0.363932238185137,0.717931248575343,8.81483601276024,21.6746016248183,0.159191694596224
1986,3,0.274694206311911,0.725507940408619,6.44555036456627,20.8325525592514,0.159351406630282
1987,3,0.18723867009279,0.738847608037919,3.8942582920663,18.2348815752139,0.154247363498121
1988,3,0.149259432254599,0.721027273078793,2.76416041608309,14.5841280441331,0.126956102416018
1989,3,0.104402690117686,0.708068940086977,1.92266019354744,13.0160332696049,0.112791541044367
1990,3,0.0569593326646527,0.696460499856638,0.977160879559697,11.0331897596352,0.100853766368176
1991,3,0.0575166292036342,0.708896275412918,1.03524756135808,10.3695576121692,0.0903086418649215
1992,3,0.0632041504422251,0.731473820792242,1.06935577225924,8.68179807598511,0.0668129031934972
1993,3,0.093337629447665,0.742859457418343,1.65969288472558,8.02770572157769,0.0606451740802512
1994,3,0.120656266877251,0.766800455213218,2.09978106488714,7.33010017581094,0.0518934039184212
1995,3,0.0968616998002853,0.920877403938504,0.988552080257625,4.63264279690543,0.0230980781355066
1996,3,0.0438012556229161,1.06786145433517,0.371753182162557,4.32522408734586,0.021340743060109
1997,3,-0.0589782882735474,1.22796059126024,-0.407433921690429,4.05714216003923,0.0182844951320101
1998,3,-0.129941137149083,1.31745690794017,-0.822288665353472,4.12666082976815,0.0191272456796527
1999,3,-0.154737716947147,1.41424311275267,-0.982785743857509,4.21209239349479,0.0153368466175985
2000,3,-0.0973730959009742,1.397525919705,-0.653048185893694,4.21885056460342,0.0139799012738862
2001,3,-0.204959332508214,1.65438334488187,-1.06028703697745,3.79172128298304,0.0126461127194241
2002,3,-0.315691304979322,2.04335432212089,-1.17131165766436,3.14273261004725,0.00867588183113288
2003,3,-0.292959728060659,2.27837946732712,-1.10744769426918,3.16319238074345,0.00780669619573271
2004,3,-0.369267441051537,2.66202193241379,-1.26553351007461,3.18089696990824,0.00763133387784132
2005,3,-0.655463657626763,3.3920886161119,-1.57830888054075,2.98451375613171,0.0074426577875718
2006,3,-0.97832258846056,4.20683746723736,-1.79911807187954,2.89790627167914,0.00722084090500685
2007,3,-1.2628110587357,4.58999959734576,-1.99169275427571,2.90775474213318,0.00843996245683465
2008,3,-1.63308414145573,4.89681019901672,-2.07866125588407,2.81371217729808,0.0100955401790018
2009,3,-1.48168713436816,4.59131121976406,-1.988305193676,2.77687089017739,0.00961766298732569
2010,3,-0.848652114913784,4.03715059638397,-1.58242116356918,2.7781271340873,0.00840762274847784
2011,3,-0.470876131299278,3.61935639307643,-1.09820089936336,2.70835283807034,0.00745387279327259
2012,3,-0.510149921051684,3.33355935665481,-1.04901645691943,2.54727769865072,0.00716187294387716
2013,3,-0.74236123705021,3.13934197348225,-1.19603965066985,2.392588271888,0.00689714458664148
2014,3,-0.639499794744426,2.58009449518001,-1.04409611294028,2.20853656865112,0.00576336133300193
2015,3,-0.427866053851656,1.92588781544418,-0.76769845286059,2.01667739238889,0.00560073882602452
2016,3,0.100097601485372,1.047096254877,0.52133219463142,3.20247210803208,0.0130097761233918
2017,3,0.410015904867969,0.760928583162864,9.25657967100858,13.108763994786,0.138226242595948
2018,3,0.458360460700996,0.857631426306363,10.3981290355984,14.4602185880076,0.158321837806346
2019,3,0.389694133281262,0.914714020646471,8.41847917147359,15.2645301849238,0.152823866271527
2020,3,0.315456180208743,1.0390033404848,5.52554979969068,17.2232373196598,0.152340240673512
2021,3,0.255557526233039,1.08807132351592,3.12258369667256,12.8098261740178,0.145153966088007
2022,3,0.263068584286948,1.08522193686288,2.83386839454002,11.497498778165,0.148869127077261
2023,3,0.259052649262199,1.08614478528208,2.43947580273061,10.3596641465624,0.156384662580683
1968,4,0.358981744147507,0.734511321663348,2.08343524401043,7.34993692683548,0.199114841773861
1969,4,0.193225812683493,0.791747823965974,0.943341990051602,6.53074083609614,0.156416207109542
1970,4,0.0813863453013615,0.864745015204291,0.347811135440298,6.11354880497239,0.128972243542739
1971,4,0.184036095466775,0.85522702576775,1.07982316337878,7.6959913892393,0.0882595370234004
1972,4,0.213716127464817,0.910368087706621,1.14842765795301,7.20465313282864,0.078027135480706
1973,4,0.265581263141892,0.911872947727054,1.7115138473215,8.21594497377805,0.079142933800187
1974,4,0.275476314180054,0.940510187703086,1.95051649518631,9.09777052769685,0.0854721584438163
1975,4,0.334583632659519,0.924056636555325,2.6128230172791,9.71759477217532,0.0894688550189051
1976,4,0.424837335072703,0.8982642099507,3.34275051055563,9.48880581137993,0.0982203372440728
1977,4,0.550316365812495,0.878683257858171,5.3309479869897,10.8363907067197,0.0960248164441888
1978,4,0.571519521115927,0.900561577722287,5.93669502622097,11.7331083821534,0.102081742872567
1979,4,0.582705944094591,0.897322089915937,6.58755277273033,12.6895878197576,0.101931723707069
1980,4,0.596712402534379,0.833395514893892,7.87555913418816,13.9043269092047,0.100824204433195
1981,4,0.588492818695168,0.772702933616713,8.15396687190355,14.1144594686767,0.108442729275433
1982,4,0.570490418864143,0.725584690396004,10.0445324677037,16.9345473953114,0.120849235308159
1983,4,0.533810295668548,0.69056185725692,10.2868859898693,17.7651615111073,0.121471910655575
1984,4,0.489178682582591,0.659728917468513,10.6584334425147,18.8448656426537,0.123781944935698
1985,4,0.426850361443197,0.645862900875823,9.32448985883547,17.9620291476297,0.119474155811276
1986,4,0.325029678708948,0.657015477300035,6.1916273580701,15.689877107036,0.114031748002554
1987,4,0.224439272758555,0.660487268832418,3.50747957155903,12.4719638223279,0.0993513112965807
1988,4,0.173366233084928,0.645396765341292,2.66455316022388,11.0604038851883,0.0882806137902927
1989,4,0.117503493892999,0.631368376290914,1.81854626182581,9.96490933766546,0.0781042796195176
1990,4,0.0812316898447917,0.652094833932982,1.17444381840249,8.90176244492549,0.0742263666575617
1991,4,0.0748283128012773,0.681577367480545,0.995479529612888,7.48764030596576,0.0557470456847194
1992,4,0.101708985612753,0.683196439025896,1.47426193298451,7.18169060733751,0.0500352506778236
1993,4,0.133758567065901,0.729797169641559,1.9167878286932,6.60800049202037,0.0455208285081514
1994,4,0.0890688426060875,0.900214272215564,0.748697487102425,4.27616707840368,0.0207699376369147
1995,4,0.0569270649970453,1.02869303145655,0.43066344836056,4.09424461469072,0.0193115849762955
1996,4,-0.0567904602525832,1.23862560396843,-0.339422681988539,3.79924691304828,0.0177843221839583
1997,4,-0.112066973086313,1.32630140990416,-0.639842580295258,3.89712594835039,0.0181327172935098
1998,4,-0.259936779031859,1.5532017508422,-1.1798163373995,3.75418313924013,0.0171363185243579
1999,4,-0.248547382225646,1.53772200783206,-1.14829262896649,3.72931477301565,0.0164128424151163
2000,4,-0.326591706355583,1.78319416240458,-1.28391119976894,3.48812419184212,0.0144519265673143
